,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
137,51.41261635233165,-0.12592925150918383,51.4273036616286,-0.10337273137399235,Tooting Broadway,Balham,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",3,14.206391478029294
138,51.52366195020544,-0.16285367020523756,51.474853922156846,-0.16715066593801206,Marylebone,Fulham Broadway,"Boston Place, Marylebone","(51.5240147, -0.162945)","Surrey Lane, Battersea","(51.474915100000004, -0.16882850000000002)",17,14.05968402574605
140,51.56276775773701,-0.15262386957965723,51.561266729236856,-0.14946484134339488,Archway,Tufnell Park,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",2,17.97656647987774
141,51.538647125703086,-0.15973678293941346,51.524307841804585,-0.05915703671272131,Chalk Farm,Bethnal Green,"London Zoo,  The Regent's Park","(51.5352875, -0.1534303)","Finnis Street, Bethnal Green","(51.525534, -0.0588214)",18,27.047619047619047
142,51.43836507891021,-0.14477322889205213,51.412334234899845,-0.0887709113889948,Balham,Balham,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",0,24.045454545454547
143,51.56422024808125,-0.11397047596481585,51.595663877273246,-0.21519337117979614,Finsbury Park,Mill Hill East,"Handyside Street, King's Cross","(51.5374403, -0.125248)","Allington street, Westminster","(51.5806125, -0.2282815)",29,40.3125
144,51.60872227301736,-0.04660277021486557,51.59797653191552,-0.1014221307161811,Tottenham Hale,Turnpike Lane,"Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",12,18.471615720524017
145,51.58316438487349,-0.12260739260541655,51.42856181779239,-0.14432042028950376,Turnpike Lane,Tooting Bec,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",35,17.74608695652174
146,51.603615562699915,-0.11351079427377947,51.44626217233083,-0.16187409941365827,Bounds Green,Balham,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",38,17.74608695652174
147,51.494547141964134,-0.15430062960272373,51.57066551874351,-0.03943552894322812,Sloane Square,Blackhorse Road,"Eaton Square (South), Belgravia","(51.4938819, -0.1535167)","Here East North, Queen Elizabeth Olympic Park","(51.5474732, -0.0239604)",26,47.07692307692308
148,51.57131997264483,-0.13484881249058817,51.420124851895615,-0.14684014428592368,Archway,Tooting Broadway,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",33,17.74608695652174
149,51.497415590971826,-0.17238716288302816,51.51531040317508,-0.1845135126692698,South Kensington,Bayswater,"Exhibition Road Museums, South Kensington","(51.498180600000005, -0.1741009)","Cleveland Gardens, Bayswater","(51.5153749, -0.1834119)",10,14.757416511273098
150,51.60295767551551,-0.21319958612478315,51.51324470603543,-0.1422689778478537,Mill Hill East,Oxford Circus,"Allington street, Westminster","(51.5806125, -0.2282815)","St. George Street, Mayfair","(51.5126331, -0.143172)",24,13.257425742574258
151,51.42693718375713,-0.2155944659048738,51.598887303233944,-0.0794884514085908,Wimbledon,Tottenham Hale,"Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",47,54.0
152,51.43858068302746,-0.1149985087468885,51.54581267800583,-0.1408863843649661,Brixton,Kentish Town,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",21,14.150943396226415
153,51.540898773005146,-0.04548929583908774,51.419126372486026,-0.05917317797209641,Bethnal Green,Lewisham,"Old Ford Road, Bethnal Green","(51.5331219, -0.0416843)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",33,22.95796847635727
