,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
139,278,223,480,1.49
140,703,419,1200,3.8
141,548,95,840,2.16
142,148,118,300,0.47
143,94,10,540,1.58
144,662,430,240,0.57
145,325,440,960,2.6
146,4,546,720,1.92
147,126,78,240,0.61
148,234,465,540,1.55
149,289,138,300,0.47
150,775,277,600,1.78
151,224,353,1200,3.74
152,101,73,540,1.58
153,217,732,540,1.15
154,427,818,540,1.37
155,267,529,720,2.04
156,562,14,480,1.39
157,167,252,780,2.24
158,478,692,600,2.27
159,46,31,900,2.52
160,27,73,600,1.7
161,350,111,480,1.71
162,638,700,360,1.09
163,610,589,360,0.83
164,747,345,240,0.34
165,292,405,360,0.91
166,716,570,540,1.58
167,716,779,1020,3.09
168,215,42,420,1.03
169,699,107,600,1.82
170,170,427,600,1.55
171,141,742,1140,3.74
172,532,576,300,0.83
173,639,266,660,1.96
174,154,136,720,1.49
175,95,512,780,2.18
176,595,717,2580,9.46
177,430,376,840,2.74
178,372,57,420,1.34
179,180,558,780,2.48
180,88,541,960,1.95
181,768,230,1560,4.73
182,257,99,360,0.77
183,108,703,900,2.19
184,275,83,1080,2.3
185,773,583,600,1.69
186,685,737,600,2.46
187,685,673,360,1.24
188,253,499,1260,3.75
189,191,300,420,1.2
190,632,739,600,1.58
191,632,800,480,1.42
192,41,361,1020,2.88
193,662,684,840,3
194,821,375,1080,3.58
195,271,713,360,0.97
196,197,227,900,2.61
197,717,401,300,0.71
198,247,661,660,2.37
199,386,184,600,1.23
200,233,288,900,1.71
201,233,228,300,0.53
202,252,18,360,1.14
203,365,78,300,0.52
204,381,343,600,1.72
205,222,762,540,1.29
206,191,109,840,2.12
207,172,265,840,2.74
208,656,178,1020,3.6
209,319,732,960,1.83
210,104,454,1080,4.18
211,203,558,1020,3.18
212,132,126,540,1.46
213,62,196,480,1.23
214,457,264,780,2.64
215,66,308,780,2.43
216,67,32,720,1.55
217,533,197,1140,3.17
218,352,676,420,1.2
219,376,270,360,1.07
220,95,401,480,1.43
221,31,719,660,2.15
