,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
75,51.52785088772868,-0.1730253669152521,51.52497815725784,-0.20635945956662766,St. John's Wood,Westbourne Park,"St. John's Wood Road, St. John's Wood","(51.5279231, -0.17354460000000002)","Bevington Road West, North Kensington","(51.5208259, -0.2076607)",13,16.7602523659306
76,51.520512569918985,-0.16067734029027705,51.456973851165614,-0.09608493805492707,Marylebone,Brixton,"Crawford Street, Marylebone","(51.5196692, -0.1602749)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",16,18.68794326241135
77,51.54531887848857,-0.024878155211246936,51.44029503364442,-0.03974749873928231,Pudding Mill Lane,Lewisham,"Here East North, Queen Elizabeth Olympic Park","(51.5474732, -0.0239604)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",32,24.722145804676753
78,51.58604443597698,-0.046406068582536555,51.527632058776625,-0.1318469594683827,Blackhorse Road,Euston,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Melton Street, Euston","(51.5269691, -0.1325934)",17,26.88167938931298
79,51.4675476041118,-0.08348461249791385,51.49523134844744,-0.05388156025354067,Brixton,Canada Water,"St John's Crescent, Brixton","(51.4661591, -0.11195230000000002)","Wapping High Street, Wapping","(51.5034591, -0.0616763)",17,29.714285714285715
80,51.5089155993204,-0.11734911241395131,51.426155357151615,-0.09637355970568087,Temple,Brixton,"Waterloo Bridge, South Bank","(51.50740039999999, -0.1158886)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",14,12.139000293455933
81,51.54681724852255,-0.15810783535208242,51.53862955899785,-0.10194105876711193,Chalk Farm,Angel,"Gloucester Avenue, Camden Town","(51.5400495, -0.15052279999999998)","Islington Green, Angel","(51.5362381, -0.10310150000000001)",9,17.72573463935886
82,51.598597476052014,-0.06716589619924228,51.45616816413176,-0.14356818809292246,Tottenham Hale,Clapham South,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Clapham Common North Side, Clapham Common","(51.461240999999994, -0.1525693)",34,29.73846153846154
83,51.55707452196945,-0.14196495940555684,51.55081713577293,-0.13334237652302433,Tufnell Park,Kentish Town,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",2,17.97656647987774
84,51.47464831203123,-0.12054734063669661,51.569017907848824,-0.08583769122101485,Stockwell,Manor House,"Teversham Lane, Stockwell","(51.4760383, -0.12363289999999999)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",24,26.181818181818183
85,51.420334545694274,-0.07961677306402078,51.58559758507756,-0.13469067392918893,Brixton,Highgate,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",28,14.150943396226415
86,51.471157708066315,-0.11801151971411082,51.576401724452495,-0.13661069874693188,Stockwell,Highgate,"Sidney Road, Stockwell","(51.46979640000001, -0.1180944)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",26,13.1171875
87,51.519613463419795,-0.19626206041358502,51.411124840059344,-0.19146123565601086,Westbourne Park,South Wimbledon,"Westbourne Grove, Bayswater","(51.5147968, -0.1970709)","Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)",36,15.865399841646873
88,51.424910810719865,-0.1586475243272889,51.600105957827026,-0.19674073270228926,Tooting Broadway,Finchley Central,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Allington street, Westminster","(51.5806125, -0.2282815)",42,18.721311475409834
89,51.49386618885389,-0.07673363230659523,51.5248523788145,-0.17610124665040883,Bermondsey,Warwick Avenue,"Bricklayers Arms, Borough","(51.4942419, -0.0850787)","Aberdeen Place, St. John's Wood","(51.5251317, -0.175893)",23,49.18
91,51.48876138921129,-0.10479754770274514,51.42231082950074,-0.0931624400740537,Kennington,Brixton,"Kennington Station, Kennington","(51.4881325, -0.1061115)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",7,13.071169208424111
93,51.4656532971566,-0.10245367510068243,51.52515581201346,-0.20882088857913084,Brixton,Westbourne Park,"St John's Crescent, Brixton","(51.4661591, -0.11195230000000002)","Bevington Road West, North Kensington","(51.5208259, -0.2076607)",24,28.2
94,51.46612477853994,-0.12189772438890566,51.553829354807554,-0.08687484698368646,Clapham North,Arsenal,"Ferndale Road, Brixton. ","(51.4627695, -0.12202550000000001)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",25,46.57058823529412
95,51.542388776455596,-0.02773713426556458,51.543385543798394,-0.024755135602968284,Pudding Mill Lane,Pudding Mill Lane,"Cadogan Close, Victoria Park","(51.542376899999994, -0.0285543)","Cadogan Close, Victoria Park","(51.542376899999994, -0.0285543)",0,20.448857994041706
96,51.518489226238565,-0.06182141221932656,51.60899966473328,-0.17583062540991343,Whitechapel,West Finchley,"Royal London Hospital, Whitechapel","(51.5182221, -0.058517599999999996)","Allington street, Westminster","(51.5806125, -0.2282815)",35,58.0
97,51.44286231094156,-0.14124015163027648,51.56448310812809,-0.09528946409271467,Balham,Manor House,"Clapham Common North Side, Clapham Common","(51.461240999999994, -0.1525693)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",31,32.059999999999995
98,51.564047655697934,-0.04880220633754272,51.471505808245205,-0.06603107246562993,Blackhorse Road,New Cross Gate,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Bricklayers Arms, Borough","(51.4942419, -0.0850787)",35,12.102977667493796
100,51.59930084650149,-0.13771818921709372,51.52717271742113,-0.19871713898081822,Bounds Green,Westbourne Park,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Bevington Road West, North Kensington","(51.5208259, -0.2076607)",31,39.916666666666664
101,51.50722390814039,-0.1266475634653531,51.54460608421421,-0.09651372475302687,Charing Cross,Highbury & Islington,"Craven Street, Strand","(51.5081697, -0.1261654)","Islington Green, Angel","(51.5362381, -0.10310150000000001)",12,13.464782608695652
102,51.441798862677324,-0.09320302535313048,51.430351502142926,-0.06596354055607485,Brixton,Brixton,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",0,14.206391478029294
