,oRandomLat,oRandomLong,dRandomLat,dRandomLong,coorDistance,oTrain,dTrain,oBike,dBike,bikeMins,trainMins
4335,51.507131,-0.06691,51.508447,-0.055166999999999994,0.5187755819456178,Tower Gateway,Shadwell,46,453,6.255813953488372,2
4336,51.50088934,-0.083159352,51.50623,-0.022959999999999998,2.6442129696108574,London Bridge,Canary Wharf,314,448,22.0,8
4337,51.50295379,-0.158456089,51.5100172,-0.157275636,0.48987713998052707,Knightsbridge,Marble Arch,303,111,41.433734939759034,7
4338,51.47084722,-0.17070367,51.46822047,-0.190346493,0.8733815678827036,Fulham Broadway,Parsons Green,653,723,12.0,2
4339,51.52452699,-0.079248081,51.52085887,-0.089887855,0.5274280400332535,Old Street,Moorgate,58,331,7.0,1
4340,51.51422502,-0.080660083,51.51048489,-0.082989638,0.27715149975135844,Aldgate,Monument,263,199,15.333333333333334,5
4341,51.49313,-0.156876,51.48894022,-0.11143579599999999,1.9974802868693269,Sloane Square,Kennington,5,144,19.09090909090909,11
4342,51.5208417,-0.097340162,51.52469624,-0.084439283,0.6209295676060951,Barbican,Old Street,95,32,5.4,3
4343,51.499916999999996,-0.174554,51.499916999999996,-0.174554,0.0,South Kensington,South Kensington,428,428,64.68181818181819,0
4344,51.528936,-0.055894000000000006,51.504749,-0.057544000000000005,1.6697736488577637,Bethnal Green,Wapping,446,458,17.8,8
4345,51.528187,-0.075375,51.517475,-0.07585499999999999,0.7391251367346025,Shoreditch,Aldgate East,401,506,7.0,4
4346,51.48591714,-0.12446994800000001,51.493072,-0.129925,0.5475648488410368,Vauxhall,Pimlico,74,426,6.571428571428571,1
4347,51.50663341,-0.131773845,51.45922541,-0.18088495899999998,3.905751186221983,Picadilly Circus,East Putney,160,689,52.0,20
4348,51.50070305,-0.129698963,51.51615461,-0.08242239900000001,2.3160986418516507,St. James's Park,Liverpool Street,762,217,19.2,10
4349,51.511891,-0.107349,51.52364804,-0.074754872,1.6332437450740733,Blackfriars,Shoreditch,773,132,18.6,11
4350,51.50462759,-0.091773776,51.48478899,-0.110683213,1.59648307967513,London Bridge,Oval,194,149,14.5,7
4351,51.49217002,-0.101536865,51.46506424,-0.163750945,3.289068837826846,Elephant & Castle,Clapham South,152,683,21.0,12
4352,51.53658514,-0.075885686,51.535678000000004,-0.062546,0.5835864245818916,Old Street,Bethnal Green,717,553,9.88888888888889,6
4353,51.496957,-0.173894,51.506766999999996,-0.12370199999999999,2.285597580365718,South Kensington,Embankment,432,354,23.666666666666668,10
4354,51.5263778,-0.07813092099999999,51.51492456,-0.066078037,0.9480872010120527,Old Street,Aldgate East,39,200,7.4,7
4355,51.49738251,-0.089446947,51.51155322,-0.09294010000000001,0.9891242171945425,Borough,Mansion House,61,101,10.2,8
4356,51.52868155,-0.065550321,51.52364804,-0.074754872,0.5299221592709503,Shoreditch,Shoreditch,702,132,5.1818181818181825,0
4357,51.51772703,-0.127854211,51.51196803,-0.12071875900000001,0.5040853061278722,Tottenham Court Road,Covent Garden,15,335,28.333333333333332,2
4358,51.49705603,-0.168917077,51.52351808,-0.143613641,2.1313077485079406,South Kensington,Great Portland Street,150,28,44.28571428571429,13
4359,51.534464,-0.07634099999999999,51.51906446,-0.059642081,1.2867422098680248,Old Street,Whitechapel,466,282,11.5,8
4360,51.51148696,-0.218190203,51.493266999999996,-0.21985,1.2587427684967727,Latimer Road,Hammersmith,652,595,10.333333333333334,5
4361,51.50672529,-0.098807246,51.50630441,-0.087262995,0.5029669453567738,Blackfriars,London Bridge,810,732,6.91304347826087,7
4362,51.52367314,-0.128377673,51.52994371,-0.123616824,0.4795134495432967,Russell Square,King's Cross St. Pancras,287,14,10.0,2
4363,51.52486887,-0.099489485,51.52085887,-0.089887855,0.5009116070881341,Barbican,Moorgate,78,331,5.235294117647059,2
4364,51.49148474,-0.090220911,51.48133547,-0.13821229599999998,2.201680850919312,Elephant & Castle,Pimlico,223,817,17.0,11
4365,51.52026,-0.157183945,51.517703000000004,-0.154106,0.22142020779274402,Baker Street,Bond Street,43,400,2.0,2
4366,51.485743,-0.22361599999999998,51.49021762,-0.21508709199999998,0.48256621076546574,Barons Court,Barons Court,599,707,4.1923076923076925,0
4367,51.49785559,-0.081608045,51.49675303,-0.138733562,2.4858938919517404,London Bridge,Victoria,321,360,22.0,9
4368,51.52289229,-0.171681991,51.520331,-0.163667,0.39082453610209006,Edgware Road (C),Marylebone,402,605,3.3333333333333335,4
4369,51.511246,-0.093051,51.53658514,-0.075885686,1.9004964644336433,Mansion House,Old Street,579,717,20.5,8
4370,51.510101,-0.211358,51.50935342,-0.196422,0.6516989838918688,Holland Park,Notting Hill Gate,442,225,8.166666666666666,2
4371,51.51227622,-0.15743697199999998,51.50645179,-0.170279555,0.6880528901851616,Marble Arch,Lancaster Gate,138,248,34.1025641025641,3
4372,51.50402794,-0.11386436,51.52486887,-0.099489485,1.567540820078189,Waterloo,Barbican,374,78,15.6,9
4373,51.475089000000004,-0.201968,51.51362054,-0.11676421099999999,4.560424030151529,Parsons Green,Temple,671,256,29.0,20
4374,51.47515398,-0.159169801,51.48112194,-0.149035375,0.6031122704276483,Sloane Square,Sloane Square,756,800,16.5,0
4375,51.513875,-0.117774,51.49738251,-0.089446947,1.6769203061648177,Temple,Borough,594,61,14.923076923076923,9
4376,51.512529,-0.11516300000000002,51.520893,-0.051394,2.8330513636408456,Temple,Stepney Green,174,503,22.0,14
4377,51.5100172,-0.157275636,51.5100172,-0.157275636,0.0,Marble Arch,Marble Arch,111,111,53.36241610738255,0
4378,51.52469624,-0.084439283,51.51492456,-0.066078037,1.0450204982263511,Old Street,Aldgate East,32,200,10.2,7
4379,51.47893931,-0.20848529300000002,51.48357068,-0.202038682,0.42504625167087273,Parsons Green,Fulham Broadway,729,639,4.7142857142857135,2
4380,51.50379168,-0.11282408,51.5154186,-0.098850915,1.006226047207886,Waterloo,St. Paul's,154,71,10.64935064935065,6
4381,51.519362,-0.074431,51.5128711,-0.038986599999999996,1.6053761985284787,Shoreditch,Limehouse,508,480,13.5,6
4382,51.49782999,-0.135440826,51.49705603,-0.168917077,1.457060600693048,St. James's Park,South Kensington,359,150,12.0,6
4383,51.48321729,-0.211860644,51.50402794,-0.11386436,4.4976306810354085,Barons Court,Waterloo,761,374,44.0,16
4384,51.50623,-0.022959999999999998,51.52096262,-0.085634242,2.9093027679678927,Canary Wharf,Moorgate,448,140,22.0,11
4385,51.52168078,-0.130431727,51.52891573,-0.115480888,0.8196971022308885,Goodge Street,King's Cross St. Pancras,12,227,7.7142857142857135,5
4386,51.499041,-0.020156999999999998,51.51444134,-0.087587447,3.1193709620458723,South Quay,Bank,475,340,43.0,12
4387,51.51196176,-0.097441687,51.51340693,-0.076793375,0.9036329161729979,Mansion House,Aldgate,136,102,24.2,8
4388,51.49369988,-0.12139410099999999,51.48256792,-0.172078187,2.3344312131200318,Westminster,South Kensington,387,610,20.0,8
4389,51.507385299999996,-0.09644075099999999,51.49337264,-0.09968067,0.976704008541699,Mansion House,Elephant & Castle,9,411,7.666666666666667,9
4390,51.483911,-0.19760944,51.50860544,-0.193764092,1.7114224797524924,West Brompton,Notting Hill Gate,782,333,20.5,8
4391,51.54094,-0.010510565,51.54211855,-0.028941601,0.8057865916552187,Stratford,Pudding Mill Lane,785,692,12.692307692307692,2
4392,51.50724437,-0.106237501,51.504044,-0.104778,0.22968379919226853,Blackfriars,Southwark,195,421,2.5,7
4393,51.50556905,-0.11160669599999999,51.505044,-0.115851,0.18812856820588142,Waterloo,Waterloo,197,334,9.0,0
4394,51.4863434,-0.122492418,51.49654462,-0.150905245,1.4220983477033253,Vauxhall,Victoria,270,124,11.0,4
4395,51.47761941,-0.149551631,51.49016361,-0.19039362,1.9759533433272165,Sloane Square,West Brompton,625,219,16.0,7
4396,51.52443845,-0.138019439,51.52867339,-0.08745937599999999,2.2184727392580834,Warren Street,Old Street,239,50,18.75,8
4397,51.520955,-0.083493552,51.52600832,-0.09631762699999999,0.6577349285426504,Liverpool Street,Barbican,41,107,6.888888888888888,4
4398,51.51461995,-0.137841333,51.50645179,-0.170279555,1.5192506339357186,Oxford Circus,Lancaster Gate,159,248,20.0,5
