,estimate,trip,pickup_estimate
30,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.16, 'display_amount': '1.61-2.16', 'display_name': 'Distance', 'low_amount': 1.61}, {'high_amount': 1.74, 'display_amount': '1.31-1.74', 'display_name': 'Time', 'low_amount': 1.31}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.44}",5
31,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.74, 'display_amount': '3.55-4.74', 'display_name': 'Distance', 'low_amount': 3.55}, {'high_amount': 4.29, 'display_amount': '3.22-4.29', 'display_name': 'Time', 'low_amount': 3.22}], 'surge_multiplier': 1.0, 'display': '£9-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1440, 'distance_estimate': 3.16}",4
32,"{'surge_confirmation_href': None, 'high_estimate': 16, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 12, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 7.01, 'display_amount': '5.26-7.01', 'display_name': 'Distance', 'low_amount': 5.26}, {'high_amount': 6.46, 'display_amount': '4.84-6.46', 'display_name': 'Time', 'low_amount': 4.84}], 'surge_multiplier': 1.0, 'display': '£12-16', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 2160, 'distance_estimate': 4.67}",4
33,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.11, 'display_amount': '1.59-2.11', 'display_name': 'Distance', 'low_amount': 1.59}, {'high_amount': 2.28, 'display_amount': '1.71-2.28', 'display_name': 'Time', 'low_amount': 1.71}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 1.41}",3
34,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.23, 'display_amount': '0.93-1.23', 'display_name': 'Distance', 'low_amount': 0.93}, {'high_amount': 0.19, 'display_amount': '0.76-0.19', 'display_name': '£5.00 Minimum', 'low_amount': 0.76}, {'high_amount': 1.08, 'display_amount': '0.81-1.08', 'display_name': 'Time', 'low_amount': 0.81}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.82}",7
35,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.03, 'display_amount': '0.78-1.03', 'display_name': 'Distance', 'low_amount': 0.78}, {'high_amount': 0.67, 'display_amount': '1.12-0.67', 'display_name': '£5.00 Minimum', 'low_amount': 1.12}, {'high_amount': 0.8, 'display_amount': '0.6-0.8', 'display_name': 'Time', 'low_amount': 0.6}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 240, 'distance_estimate': 0.69}",12
36,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.34, 'display_amount': '1.76-2.34', 'display_name': 'Distance', 'low_amount': 1.76}, {'high_amount': 1.63, 'display_amount': '1.22-1.63', 'display_name': 'Time', 'low_amount': 1.22}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.56}",5
37,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.54, 'display_amount': '1.15-1.54', 'display_name': 'Distance', 'low_amount': 1.15}, {'high_amount': None, 'display_amount': '0.45', 'display_name': '£5.00 Minimum', 'low_amount': 0.45}, {'high_amount': 1.2, 'display_amount': '0.9-1.2', 'display_name': 'Time', 'low_amount': 0.9}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 1.02}",4
38,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.34, 'display_amount': '1.75-2.34', 'display_name': 'Distance', 'low_amount': 1.75}, {'high_amount': 1.4, 'display_amount': '1.05-1.4', 'display_name': 'Time', 'low_amount': 1.05}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.56}",8
39,"{'surge_confirmation_href': None, 'high_estimate': 13, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 7.13, 'display_amount': '5.34-7.13', 'display_name': 'Distance', 'low_amount': 5.34}, {'high_amount': 2.98, 'display_amount': '2.24-2.98', 'display_name': 'Time', 'low_amount': 2.24}], 'surge_multiplier': 1.0, 'display': '£10-13', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1020, 'distance_estimate': 4.75}",8
40,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.5, 'display_amount': '1.13-1.5', 'display_name': 'Distance', 'low_amount': 1.13}, {'high_amount': 1.83, 'display_amount': '1.37-1.83', 'display_name': 'Time', 'low_amount': 1.37}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.0}",8
41,"{'surge_confirmation_href': None, 'high_estimate': 11, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.5, 'display_amount': '3.38-4.5', 'display_name': 'Distance', 'low_amount': 3.38}, {'high_amount': 3.97, 'display_amount': '2.98-3.97', 'display_name': 'Time', 'low_amount': 2.98}], 'surge_multiplier': 1.0, 'display': '£8-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1320, 'distance_estimate': 3.0}",10
