,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1152,32,420,1080,2.38,£7-10
1153,436,22,360,0.44,£5-6
1154,457,26,840,2.05,£6-9
1155,157,595,660,1.3,£5-7
1156,154,91,540,0.95,£5-6
1157,820,625,1260,3.4,£9-12
1158,194,193,240,0.37,£5-6
1159,226,222,660,1.54,£5-7
1160,762,624,1080,2.47,£7-10
1161,562,361,780,2.13,£6-9
1162,194,197,540,0.92,£5-6
1163,57,107,540,1.28,£5-7
1164,14,5,2280,3.84,£11-16
1165,404,151,600,1.37,£5-7
1166,157,757,480,1.11,£5-6
1167,709,700,960,2.93,£7-10
1168,552,792,1260,3.05,£8-11
1169,57,14,480,0.81,£5-6
1170,633,599,300,1.01,£5-6
1171,534,695,960,2.37,£7-9
1172,695,448,2220,5.36,£13-18
1173,503,331,900,2.2,£7-9
1174,56,182,420,0.64,£5-6
