station__id,station__name,station__terminalName,station__lat,station__long,station__installed,station__locked,station__installDate,station__removalDate,station__temporary
201,"Dorset Square, Marylebone",1162,51.5225965,-0.161113413,TRUE,FALSE,1.27944E+12,,FALSE
202,"Leman Street, Aldgate",1102,51.51236389,-0.06954201,TRUE,FALSE,1.27944E+12,,FALSE
203,"West Smithfield Rotunda, Farringdon",1040,51.51821864,-0.100791005,TRUE,FALSE,1.27945E+12,,FALSE
204,"Margery Street, Clerkenwell",3468,51.52659961,-0.112432615,TRUE,FALSE,1.27947E+12,,FALSE
206,"New Road 1 , Whitechapel",1171,51.518154,-0.062697,TRUE,FALSE,1.27947E+12,,FALSE
207,"Grosvenor Crescent, Belgravia",1169,51.50135267,-0.153194766,TRUE,FALSE,1.27956E+12,,FALSE
208,"Mallory Street, Marylebone",1175,51.52505151,-0.166304359,TRUE,FALSE,1.27947E+12,,FALSE
209,"Denyer Street, Knightsbridge",3454,51.49358391,-0.165101392,TRUE,FALSE,1.27953E+12,,FALSE
211,"Cadogan Place, Knightsbridge",3469,51.49464523,-0.158105512,TRUE,FALSE,1.27954E+12,,FALSE
212,"Campden Hill Road, Notting Hill",3487,51.50658458,-0.199004026,TRUE,FALSE,1.27954E+12,,FALSE
213,"Wellington Arch, Hyde Park",1109,51.50274025,-0.149569201,TRUE,FALSE,1.27954E+12,,FALSE
214,"Endsleigh Gardens, Euston",1079,51.52683806,-0.130504336,TRUE,FALSE,1.27954E+12,,FALSE
215,"Moorfields, Moorgate",1092,51.51906932,-0.088285377,TRUE,FALSE,1.27954E+12,,FALSE
216,"Old Brompton Road, South Kensington",3479,51.49094565,-0.181190899,TRUE,FALSE,1.27954E+12,,FALSE
217,"Wormwood Street, Liverpool Street",2587,51.51615461,-0.082422399,TRUE,FALSE,1.27954E+12,,FALSE
218,"St. Luke's Church, Chelsea",3486,51.48971651,-0.170194408,TRUE,FALSE,1.27954E+12,,FALSE
219,"Bramham Gardens, Earl's Court",1183,51.49016361,-0.19039362,TRUE,FALSE,1.27955E+12,,FALSE
220,"Chelsea Green, Chelsea",1179,51.49066456,-0.166485083,TRUE,FALSE,1.27955E+12,,FALSE
221,"Horseferry Road, Westminster",1170,51.49481649,-0.13045856,TRUE,FALSE,1.27955E+12,,FALSE
222,"Knightsbridge, Hyde Park",1101,51.50275704,-0.155349725,TRUE,FALSE,1.27961E+12,,FALSE
223,"Rodney Road , Walworth",3481,51.49148474,-0.090220911,TRUE,FALSE,1.27961E+12,,FALSE
224,"Whiteley's, Bayswater",1150,51.51476963,-0.188129731,TRUE,FALSE,1.27962E+12,,FALSE
225,"Notting Hill Gate Station, Notting Hill",1182,51.50935342,-0.196422,TRUE,FALSE,1.27962E+12,,FALSE
226,"Charles II Street, West End",3488,51.50844614,-0.131961389,TRUE,FALSE,1.27962E+12,,FALSE
227,"Great Percy Street, Clerkenwell",3470,51.52891573,-0.115480888,TRUE,FALSE,1.27962E+12,,FALSE
228,"St. James's Square, St. James's",1067,51.50742485,-0.134621209,TRUE,FALSE,1.27962E+12,,FALSE
229,"Whitehall Place, Strand",1151,51.50654321,-0.123179697,TRUE,FALSE,1.27962E+12,,FALSE
230,"Poured Lines, Bankside",1144,51.50669284,-0.103137426,TRUE,FALSE,1.27962E+12,,FALSE
231,"Queen's Gate (Central), South Kensington",1089,51.49396755,-0.17873226,TRUE,FALSE,1.27962E+12,,FALSE
232,"Carey Street, Holborn",1139,51.51501025,-0.112753217,TRUE,FALSE,1.27962E+12,,FALSE
233,"Pall Mall East, West End",1153,51.50777049,-0.130699733,TRUE,FALSE,1.27962E+12,,FALSE
234,"Liverpool Road (N1 Centre), Angel",1081,51.53450449,-0.106992706,TRUE,FALSE,1.27962E+12,,FALSE
235,"Kennington Road  , Vauxhall",1154,51.49571828,-0.110889274,TRUE,FALSE,1.27963E+12,,FALSE
236,"Fashion Street, Whitechapel",3483,51.51838043,-0.073438925,TRUE,FALSE,1.27963E+12,,FALSE
237,"Dock Street, Wapping",3467,51.50978602,-0.068161981,TRUE,FALSE,1.2798E+12,,FALSE
238,"Frampton Street, Paddington",1099,51.5233534,-0.175116099,TRUE,FALSE,1.27963E+12,,FALSE
239,"Warren Street Station, Euston",1090,51.52443845,-0.138019439,TRUE,FALSE,1.27963E+12,,FALSE
240,"Colombo Street, Southwark",3472,51.50545935,-0.10569204,TRUE,FALSE,1.27963E+12,,FALSE
